Reaction	In-Pathway
RXN-9689	PWY-8476
RXN-23738	PWY-8437
RXN3DJ-11230	PWY3DJ-11470
RXN-16403	PWY-6733
RXN-18121	RXN-23793 // PWY-7826
RXN-5762	PWY-3542
RXN-21390	RXN-20584
1.97.1.2-RXN	P3-PWY
RXN-23697	
RXN-11317	PWY-6464
RXN-16141	PWY-7607
RXN-21008	PWY-8104 // RXN-7575
3.5.2.18-RXN	PWY-5055
RXN-14254	PWY-7044 // RXN-13370
RXN-11065	PWY-5265
RXN-2162	PWYQT-4477 // PWY-601
2.7.1.148-RXN	NONMEVIPP-PWY // PWY-7560
RXN1G-214	PWYG-321
RXN18C3-51	PWY18C3-20
RXN-14196	PWY2S1Y-3 // PWY0-41 // CITRULLINE-DEG-PWY // RXN-22735 // PWY-7693 // CARBAMATE-KINASE-RXN // RXN-13202
RXN-19717	PWY4FS-17 // RXN4FS-22
RXN-15776	PWY-7546
4.1.2.23-RXN	
THIAMIN-PYRIDINYLASE-RXN	
RXN-21258	PWY-8122
HYPOTAUROCYAMINE-KINASE-RXN	
PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN	
RXN-14060	PWY-7213
1.1.1.226-RXN	PWY-8486
RXN-12660	RXN-13751 // PWY-6915
RXN-8794	RXN-17427
RXN-9868	PWY-6089
RXN-14939	PWY-8424
RXN-19862	PWY-8012
RXN-9317	PWY-5877
RXN-18007	PWY-7816 // RXN-18380
RXN-15389	PWY-7474
RXN-15889	ENTBACSYN-PWY
2.4.1.127-RXN	
RXN-18204	PWYQT-4450 // RXNQT-4171
RXN-16824	
RXN-11197	PWY-6423
ALPHA-L-FUCOSIDASE-RXN	
PDXJ-RXN	PYRIDOXSYN-PWY
RXN-2462	PWY-6339 // GALLATE-DEGRADATION-I-PWY // METHYLGALLATE-DEGRADATION-PWY // P184-PWY
RXN-16531	PWY-7653
RXN-14444	PWY-7261
RXN-14454	
RXN-11408	PWY-6498
RXN-14937	PWY-6728
CINNAMOYL-COA-REDUCTASE-RXN	
AMPSYN-RXN	PWY-7219
RXN-18681	PWY-7885
RXN-18197	
RXN-10996	PWY-6381 // PWY-6375 // PWY-6376
RXN-19211	
RXN-19056	PWY-8397
RXN-16992	GALACTITOLCAT-PWY
RXN-11211	PWY-6430
RXN-22199	PWY-8238
RXN-11356	PWY-6475 // RXN-12242
DECYLHOMOCITRATE-SYNTHASE-RXN	
RXN-15466	PWY-7489
RXN-20525	
RXN-8575	
RXN-22405	
RXN-13046	PWY-6990
RXN-13745	PWY-7127
RXN-9988	PWY-6138
RXN-6261	PWY-7962 // PWY-6269 // PWY-7972
GLYC3PDEHYDROGBIOSYN-RXN	PWY-5981 // PWY0-1319 // PWY-7902 // PWY-5667
RXN-8281	PWY-5338
RXN-21173	RXN-21176
RXN-22424	PWY-8273
RXN-8963	PWY-5789 // PWY-5744 // PWY-5743
RXN-12243	PWY-6475 // RXN-11355
