Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
P165-PWY	Super-Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Super-Pathways // Urate-Degradation	TAX-33090	TAX-4442 // TAX-4058 // TAX-3055 // TAX-3827 // TAX-3847 // TAX-3873 // TAX-4113 // ORG-5993	PWY-5044 // PWY-5694 // PWY-5691
PWY-6736	Noncarbon-Nutrients // Metabolic-Clusters	Metabolic-Clusters // Sulfur-Metabolism	TAX-3700	TAX-3712 // ORG-5993	THIOL-S-METHYLTRANSFERASE-RXN // RXN-12189
PWY-7572	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4751	TAX-35717	RXN-15968 // RXN-15961 // RXN-15967 // RXN-15966 // RXN-15965 // RXN-15964 // RXN-15963 // RXN-15962 // RXN-15960 // RXN-15959 // RXN-15958 // RXN-15957 // RXN-15956 // RXN-15955 // RXN-15735
PWY-7279	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-4751	TAX-4932	CYTOCHROME-C-OXIDASE-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN0-5330 // 1.10.2.2-RXN
PWY-7842	Carbohydrates-Biosynthesis	UDP-Sugar-Biosynthesis	TAX-2	TAX-226900	RXN-15376 // RXN-18318 // RXN-13252
PWY-7849	AROMATIC-COMPOUNDS-DEGRADATION	Urate-Degradation	TAX-2	TAX-80867 // TAX-176299 // TAX-266 // TAX-287 // TAX-305	RXN-18354 // 3.5.2.17-RXN // RXN-6201
ALKANEMONOX-PWY	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	TAX-511145	RXN0-280 // RXN-12444
PWY-6304	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-3977 // TAX-160061	TAX-3988	CASBENE-SYNTHASE-RXN
PWY-63	Carbohydrates-Biosynthesis	UDP-Sugar-Biosynthesis	TAX-82115 // TAX-3193	TAX-46611 // TAX-3349 // TAX-266834 // TAX-4565 // TAX-3916 // ORG-5993	UDP-ARABINOSE-4-EPIMERASE-RXN
PWY-7394	AROMATIC-COMPOUNDS-DEGRADATION	Urate-Degradation	TAX-2	TAX-290336 // TAX-573 // TAX-272620 // TAX-339	RXN-11186 // 3.5.2.17-RXN // RXN-6201
PWY-7465	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	TAX-34073	RXN-15375 // RXN-15370 // RXN-15362 // RXN-15364
PWY-7994	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-33090	TAX-4577	5.5.1.13-RXN // RXN-19635 // RXN-19638 // RXN-19637 // RXN-19636
PWY1YI0-2	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-1117	TAX-84588	RXN1YI0-14 // RXN-21237 // RXN1YI0-20
PWY-7328	Super-Pathways // Carbohydrates-Biosynthesis	Super-Pathways // UDP-Sugar-Biosynthesis	TAX-2	TAX-511145 // TAX-1162729 // TAX-83332 // TAX-1313 // TAX-1308 // TAX-45888	PWY-7346 // PWY-7344 // PWY-7343 // GALPMUT-RXN // PWY-4861 // UDPGLUCEPIM-RXN
PWY-5436	Amino-Acid-Degradation	THREONINE-DEG	TAX-2 // TAX-4751	TAX-511145 // TAX-4932 // TAX-268808 // TAX-1501 // TAX-5417 // TAX-1423 // TAX-1667 // TAX-650 // ORG-5959 // ORG-5958 // ORG-5995	ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN
PWY-5260	Noncarbon-Nutrients // Energy-Metabolism	METHANOGENESIS // Sulfur-Metabolism	TAX-28890	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	RXN-8130 // RXN-8126
PWY-6691	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-33090	TAX-107238 // TAX-100370 // TAX-431156	FARNESYLTRANSTRANSFERASE-RXN // RXN-10627 // RXN-10626
PWY-8273	Carbohydrates-Biosynthesis	UDP-Sugar-Biosynthesis	TAX-2	TAX-920 // TAX-7 // TAX-29448 // TAX-293 // TAX-359391 // TAX-197 // TAX-446 // TAX-173 // TAX-28104 // TAX-529 // TAX-40137 // TAX-300193 // TAX-1076	RXN-22424 // RXN-15615
THRDLCTCAT-PWY	Amino-Acid-Degradation	THREONINE-DEG	TAX-2	TAX-1665 // TAX-1423 // TAX-511145 // TAX-615 // ORG-5972	AMACETOXID-RXN // THREOSPON-RXN // THREODEHYD-RXN
PWY-8418	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	TAX-224308	RXN-23600 // RXN-23601 // RXN-23602 // RXN-23603 // RXN-22642
PWY18C3-18	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4070	TAX-35889	RXN-9454 // RXN18C3-50
PWY-7545	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157		RXN0-5266 // RXN-11496
PWY-8013	Carbohydrates-Biosynthesis	UDP-Nac-Galactosamine-Biosynthesis	TAX-28889	TAX-43687 // TAX-2285 // TAX-43080 // TAX-2287 // TAX-111955	PGLUCISOM-RXN // RXN-13760 // RXN-19880 // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // RXN-19878 // RXN-19879
PWY66-428	Amino-Acid-Degradation	THREONINE-DEG	TAX-40674	TAX-9606	RXN-7790 // THREDEHYD-RXN
PWY-6044	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	TAX-50057 // TAX-1423 // TAX-287 // TAX-50058 // TAX-321926 // ORG-6065 // ORG-6064 // ORG-6063	RXN-9770
PWY-7070	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-58024	TAX-55670	RXN-7580 // RXN-5242 // 1.14.13.78-RXN // RXN-13510
PWY-5514	Carbohydrates-Biosynthesis	UDP-Nac-Galactosamine-Biosynthesis	TAX-68459	TAX-5741	GLUCOKIN-RXN // PGLUCISOM-RXN // UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN // NAG1P-URIDYLTRANS-RXN // PHOSACETYLGLUCOSAMINEMUT-RXN // GLUCOSAMINEPNACETYLTRANS-RXN // GLUCOSAMINE-6-P-DEAMIN-RXN
THREONINE-DEG2-PWY	Amino-Acid-Degradation	THREONINE-DEG	TAX-4751 // TAX-33208 // TAX-2 // TAX-2157	TAX-1511 // TAX-8782 // TAX-511145 // TAX-40674 // TAX-77915 // TAX-2261 // TAX-53953 // TAX-339 // ORG-5866 // ORG-5894	AKBLIG-RXN // THREODEHYD-RXN
PWY-6072	Super-Pathways // Noncarbon-Nutrients	Sulfur-Metabolism // Super-Pathways	TAX-2	TAX-121290 // TAX-121291 // TAX-121292	PWY-6047 // PWY-6050 // PWY-6058
PWY-5107	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-3398	ORG-5993	RXN-7763 // RXN-7683
PWY0-1565	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157	TAX-511145	RXN0-5268 // DLACTDEHYDROGFAD-RXN
PWY-5512	Carbohydrates-Biosynthesis	UDP-Nac-Galactosamine-Biosynthesis	TAX-28890 // TAX-33208 // TAX-4751 // TAX-2	TAX-224308 // TAX-197 // TAX-9606 // TAX-703 // TAX-287 // TAX-1308 // TAX-9823 // TAX-630	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
PWY-5437	Amino-Acid-Degradation // Energy-Metabolism	Amino-Acid-Fermentation // THREONINE-DEG	TAX-2	TAX-1553 // TAX-511145 // TAX-566546 // TAX-90371 // TAX-99287	RXN-15121 // RXN-15123 // RXN-15122 // PROPKIN-RXN // PTAALT-RXN // KETOBUTFORMLY-RXN
PWY-6642	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	ORG-6160	RXN-11691 // R230-RXN // RXN-11737
PWY-7517	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4890 // TAX-4751	TAX-622360	FARNESYLTRANSTRANSFERASE-RXN // RXN-15595 // RXN-15594 // RXN-15593 // RXN-15592 // RXN-15591 // RXN-10632
THREOCAT-PWY	Super-Pathways // Amino-Acid-Degradation	Super-Pathways // THREONINE-DEG	TAX-2	TAX-511145 // TAX-90371	PWY-5443 // ILEUSYN-PWY // PWY-5437 // THREONINE-DEG2-PWY // THRDLCTCAT-PWY // PWY-5436
PWY-7462	Noncarbon-Nutrients	Sulfur-Metabolism	TAX-2	TAX-1247726	RXN-15362 // RXN-15363 // RXN-15364 // RXN-15365
PWY-7721	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4751	TAX-1214568	RXN-17086 // RXN-17085 // FARNESYLTRANSTRANSFERASE-RXN // FPPSYN-RXN
PWY1YI0-8	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-1117	TAX-84588	RXN1YI0-23 // RXN1YI0-14
PWY-6153	SECONDARY-METABOLITE-BIOSYNTHESIS	Autoinducer-Biosynthesis	TAX-2	TAX-511145 // TAX-837 // TAX-90371	RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605 // RXN-10015 // RXN-10017
PWY-6659	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4751	TAX-1214568	RXN-15604 // RXN-15603 // RXN-15602 // RXN-15601 // RXN-15600 // RXN-15599 // RXN-10632 // FARNESYLTRANSTRANSFERASE-RXN
PWY-7621	SECONDARY-METABOLITE-BIOSYNTHESIS	Autoinducer-Biosynthesis	TAX-666	TAX-243277 // TAX-127906	RXN-16242 // RXN-16240 // RXN-16241
PWY18C3-14	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN // Super-Pathways	TAX-4070	TAX-35889 // TAX-4096 // TAX-4097	PWY18C3-18 // PWY18C3-13 // PWY18C3-7
PWY0-1335	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2	TAX-160488 // TAX-511145	RXN0-5268 // NADH-DEHYDROG-A-RXN
PWY-6157	SECONDARY-METABOLITE-BIOSYNTHESIS	Autoinducer-Biosynthesis	TAX-2	TAX-644 // TAX-176299 // TAX-358 // TAX-668 // TAX-549 // TAX-66271 // TAX-555 // TAX-287 // TAX-333 // TAX-384 // TAX-669 // TAX-630	2.3.1.184-RXN
PWY-7065	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-3313	TAX-99806	RXN-13488 // RXN-13487 // RXN-13486 // RXN-12885
PWY-6154	SECONDARY-METABOLITE-BIOSYNTHESIS	Autoinducer-Biosynthesis	TAX-135623	TAX-668 // TAX-666 // TAX-669	RXN-10016 // RXN-10018 // RXN-10019 // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN // RXN-7605
PWY-6464	Alcohol-Degradation	Alcohol-Degradation	TAX-2759 // TAX-2	TAX-41276 // TAX-76114 // TAX-292913 // ORG-6128 // ORG-6127	RXN-11316 // RXN-11317
PWY-7392	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN // Super-Pathways	TAX-2157 // TAX-2759 // TAX-2	TAX-511145 // TAX-549 // TAX-46220	4.2.3.17-RXN // PWY-5120 // NONMEVIPP-PWY // PWY-5123
PWY-4302	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-33682 // TAX-4751 // TAX-33090	TAX-4097 // TAX-4530 // TAX-4463 // TAX-5691 // ORG-5993	NADH-DEHYDROG-A-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN-6883
PWY-8060	Carbohydrates-Degradation	2-Deoxy-D-Ribose-Degradation	TAX-2	TAX-99287 // TAX-546 // TAX-550 // TAX-562 // TAX-571 // TAX-1590 // TAX-577 // TAX-90370 // TAX-90371 // TAX-670 // TAX-622260	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // RXN-14223
PWY0-1280	Alcohol-Degradation	Alcohol-Degradation	TAX-4751 // TAX-2157 // TAX-2	TAX-511145 // TAX-4932 // TAX-559292	GLYCOLALDREDUCT-RXN // GLYCOLALD-DEHYDROG-RXN
PWY-5660	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4751 // TAX-3313	TAX-25629 // TAX-46220 // TAX-88032 // TAX-29808 // TAX-99806 // TAX-85957	RXN-13485 // RXN-13484 // RXN-11851 // RXN-8861 // RXN-8865 // RXN-8859 // RXN-8857 // 2.3.1.167-RXN // 2.3.1.166-RXN // RXN-8855 // 4.2.3.17-RXN // 1.14.99.37-RXN // 2.3.1.162-RXN // 1.14.13.76-RXN // 1.14.13.77-RXN
PWY-8058	Carbohydrates-Degradation	2-Deoxy-D-Ribose-Degradation	TAX-2	TAX-420952 // TAX-261302 // TAX-321846	ACETOACETATE--COA-LIGASE-RXN // ACETYL-COA-ACETYLTRANSFER-RXN // GKI-RXN // RXN-20661 // RXN-20662 // RXN-20663 // RXN-20664 // RXN-20665
GLYCOL-GLYOXDEG-PWY	Super-Pathways // Alcohol-Degradation	Alcohol-Degradation // Super-Pathways	TAX-2	TAX-511145 // TAX-303	PWY0-1280 // GLYOXDEG-PWY // GLYCOLATEMET-PWY
PWY-7680	SECONDARY-METABOLITE-BIOSYNTHESIS	DITERPENOID-SYN	TAX-4136	TAX-268906 // TAX-38868 // TAX-396869 // TAX-39367	RXN-18881 // RXN-18880 // RXN-4861 // RXN-13338 // RXN-16785 // RXN-16786
PWY0-1591	Energy-Metabolism	Electron-Transfer	TAX-451864 // TAX-2	TAX-511145	RXN-19020 // RXN-15740
ERGOSTEROL-SYN-PWY	Super-Pathways // Lipid-Biosynthesis	Ergosterol-Biosynthesis // Super-Pathways	TAX-4751	TAX-4932	PWY-6132 // PWY-922 // PWY-5123 // PWY-6075 // PWY-6074 // PWY-5670
PWY-7616	Super-Pathways // Alcohol-Degradation	Alcohol-Degradation // Detoxification // Super-Pathways	TAX-2	TAX-196627	METHANOL-DEHYDROGENASE-RXN // RXN0-3281 // FORMALDEHYDE-DEHYDROGENASE-RXN // PWY1G-170
PWY-5063	SECONDARY-METABOLITE-BIOSYNTHESIS	Phytyl-Diphosphate-Biosynthesis	TAX-3041 // TAX-2763 // TAX-1117 // TAX-33090	TAX-4097 // ORG-5993	RXN-7658 // RXN-7659 // RXN-7660
PWY-7156	Super-Pathways // Lipid-Biosynthesis	Ergosterol-Biosynthesis // Super-Pathways	TAX-3041	TAX-3055	PWY-8028 // PWY-7154 // NONMEVIPP-PWY // PWY-5123 // PWY-5670
CYCLOHEXANOL-OXIDATION-PWY	Alcohol-Degradation	Alcohol-Degradation	TAX-1224 // TAX-201174	TAX-1818 // TAX-279 // TAX-86174 // TAX-287 // TAX-286 // TAX-481 // TAX-1698 // TAX-398520 // TAX-135835 // TAX-40214 // ORG-6002	6-HEXANOLIDE-HYDROLYSIS-RXN // 6-HYDROXYHEXANOATE-OXIDATION-RXN // 6-OXOHEXANOATE-OXIDATION-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN // CYCLOHEXANOL-DEHYDROGENASE-RXN
PWY-7544	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157	TAX-511145	RXN0-5268 // RXN-11496
PWY-7154	Lipid-Biosynthesis	Ergosterol-Biosynthesis	TAX-3041	TAX-3111 // TAX-3055	RXN-20446 // RXN-20445 // RXN-20414 // RXN-20412 // RXN-20411 // RXN-13884 // RXN-13882 // RXN-13883 // RXN-13881 // RXN-13879 // 2.1.1.142-RXN
PWY-7013	Alcohol-Degradation // Energy-Metabolism	Alcohol-Degradation // Fermentation-to-propanoate	TAX-2	TAX-546 // TAX-571 // TAX-1642 // TAX-28901 // TAX-99287	PROPKIN-RXN // RXN-13198 // PTAALT-RXN // RXN-12736 // PROPANEDIOL-DEHYDRATASE-RXN
PWY-7221	Nucleotide-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis	TAX-2759 // TAX-2157 // TAX-2	TAX-3847 // TAX-4932 // TAX-511145 // TAX-9606 // TAX-90371 // ORG-5993	GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-6075	Lipid-Biosynthesis	Ergosterol-Biosynthesis	TAX-4751	TAX-4932	RXN3O-218 // 1.3.1.71-RXN // RXN3O-227 // RXN3O-203 // RXN3O-178
PWY66-389	Alcohol-Degradation	Alcohol-Degradation	TAX-33154 // TAX-40674	TAX-9606 // TAX-10116	RXN66-482 // RXN66-480 // RXN66-479 // RXN66-478
PWY-7219	Nucleotide-Biosynthesis	Purine-Ribonuc-De-Novo-Biosynthesis	TAX-2759 // TAX-2157 // TAX-2	TAX-511145 // TAX-9606 // TAX-90371	ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY0-1561	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157	TAX-160488 // TAX-511145	RXN0-5268 // RXN0-5260
PWY-6423	Protein-Degradation	Protein-Degradation	TAX-5820	TAX-5833 // TAX-5858 // TAX-36330 // TAX-5855	RXN-11200 // RXN-11199 // RXN-11198 // RXN-10785 // RXN-11197 // 3.4.23.39-RXN // 3.4.23.38-RXN
PWY-6052	Noncarbon-Nutrients	Dimethylsulfoniopropionate-Degradation	TAX-2	TAX-246200 // TAX-81569 // TAX-335992 // TAX-2298 // TAX-2297 // TAX-449288 // ORG-6056	RXN-9736
PWY1YI0-7	Energy-Metabolism	Electron-Transfer	TAX-1117	TAX-84588	PSII-RXN // RXN1YI0-15
PWY-6049	Super-Pathways // Noncarbon-Nutrients	Dimethylsulfoniopropionate-Degradation // Super-Pathways	TAX-2759 // TAX-2	TAX-89187 // TAX-89186 // TAX-246200 // TAX-89183	PWY-6052 // PWY-6048 // DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN
PWY-6192	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Dichlorotoluene-Degradation	TAX-2	TAX-393999	RXN-17088 // RXN-10095 // RXN-10104 // RXN-10103 // RXN-10098 // RXN-10092
PWY-6046	Noncarbon-Nutrients	Dimethylsulfoniopropionate-Degradation	TAX-2759 // TAX-2	TAX-246200 // TAX-75750 // TAX-89187 // TAX-349101 // TAX-272943 // TAX-314231 // TAX-314271 // TAX-252305 // TAX-398580 // TAX-384765 // TAX-314232 // TAX-314267 // TAX-52598 // TAX-84157 // TAX-135247 // TAX-28446 // TAX-282368 // TAX-84158 // TAX-2866 // TAX-2903 // TAX-5523 // TAX-1261582 // TAX-1121434 // ORG-6049	DIMETHYLPROPIOTHETIN-DETHIOMETHYLASE-RXN
PWY-6191	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Dichlorotoluene-Degradation	TAX-2	TAX-393999	RXN-17087 // RXN-10108 // RXN-10105 // RXN-10102 // RXN-10097 // RXN-10094 // RXN-10091
PWY-8271	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-1117	TAX-84588 // TAX-1148	1.18.1.2-RXN // RXN-22408 // RXN1YI0-22 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN
PWY-6454	Antibiotic-Resistance // Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis // Vancomycin-Resistnace	TAX-2	TAX-71452 // TAX-1351 // TAX-1352	DLACTDEHYDROGNAD-RXN // RXN-11298 // 3.4.13.22-RXN
PWY-6056	Noncarbon-Nutrients	Dimethylsulfoniopropionate-Degradation	TAX-2	TAX-339670 // TAX-314287 // TAX-314277 // TAX-400668 // TAX-246200 // TAX-388399 // TAX-394	RXN-9760
PWY-6190	CHLORINATED-COMPOUNDS-DEG // AROMATIC-COMPOUNDS-DEGRADATION	Dichlorotoluene-Degradation	TAX-2	TAX-393999	RXN-17090 // RXN-10106 // RXN-10090 // RXN-10093 // RXN-10096 // RXN-10099 // RXN-10100 // RXN-10101 // RXN-10107
PWY-7820	Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis	TAX-1239	TAX-1402 // TAX-655816 // TAX-224308	RXN-18067 // RXN-18066 // RXN-18065 // RXN-18064 // TRANS-RXN-322 // RXN-18063 // RXN-14571 // UGD-RXN // UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
PWY-6990	SECONDARY-METABOLITE-BIOSYNTHESIS	Camphor-Biosynthesis	TAX-33090	TAX-38868	GERANYL-DIPHOSPHATE-CYCLASE-RXN // RXN-13046 // +-BORNEOL-DEHYDROGENASE-RXN
PWY1F-823	AROMATIC-COMPOUNDS-BIOSYN	LEUCOANTHOCYANIDIN-SYN	TAX-58024	TAX-101596 // TAX-3311 // TAX-3724 // TAX-4102 // TAX-3693 // TAX-3694 // TAX-137893 // ORG-5993	RXN-7775 // RXN-525 // DIHYDROKAEMPFEROL-4-REDUCTASE-RXN // RXN-600
PWY0-1568	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2157	TAX-511145	RXN0-5266 // RXN0-5330
PWY-6404	Super-Pathways // Glycan-Pathways // Carbohydrates-Biosynthesis // Cell-Structure-Biosynthesis	Carbohydrates-Biosynthesis // Cell-Wall-Biosynthesis // Glycan-Pathways // Super-Pathways	TAX-1762	TAX-1764 // TAX-1769 // TAX-1773 // TAX-83332 // TAX-1772	PWY-6397 // PWY-6383 // UDPNAGSYN-PWY // PWY0-662 // DTDPRHAMSYN-PWY
PWY-6991	SECONDARY-METABOLITE-BIOSYNTHESIS	Camphor-Biosynthesis	TAX-33090	TAX-301877 // TAX-128002	RXN-13002 // RXN-13047 // --BORNEOL-DEHYDROGENASE-RXN
PWY-5152	AROMATIC-COMPOUNDS-BIOSYN	LEUCOANTHOCYANIDIN-SYN	TAX-58024	TAX-4058 // TAX-101596 // TAX-52518 // TAX-3724 // TAX-4102 // ORG-5993	RXN-13718 // RXN-525 // RXN-7784 // RXN-7922 // RXN-7921
PWY-6626	Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis	TAX-2	TAX-1313 // TAX-216600	RXN-11709 // RXN-11711 // RXN-11710 // RXN-11708
PWY-2841	HORMONE-DEG // Metabolic-Clusters	CYTOKININS-DEGRADATION // Metabolic-Clusters	TAX-33090	TAX-4577 // ORG-5993	RXN-4681 // RXN-4662 // RXN-4661 // RXN-4641 // RXN-4621
PWY0-1334	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-33208 // TAX-2	TAX-511145	RXN0-5266 // NADH-DEHYDROG-A-RXN
PWY-6397	Glycan-Pathways // Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis // Glycan-Pathways	TAX-1762	TAX-1764 // TAX-1769 // TAX-1773 // TAX-83332 // TAX-1772	RXN-21427 // RXN-11094 // RXN-11092 // RXN-11091 // RXN-11093 // RXN1G-1633 // RXN-11082 // RXN-11081 // RXN-11080 // RXN-11079 // RXN-11078 // RXN-11077 // RXN-11075 // UDPGLUCEPIM-RXN // GALPMUT-RXN // RXN-11072 // RXN-11070 // RXN-6380
PWY-7945	SECONDARY-METABOLITE-BIOSYNTHESIS	C50-Carotenoids-Biosynthesis	TAX-201174 // TAX-2157	TAX-2035 // TAX-370437	RXN-19173 // RXN-19172 // RXN-19170 // RXN-16704 // RXN-19166 // RXN-16703 // RXN-19167
PWY-6455	Antibiotic-Resistance // Cell-Structure-Biosynthesis	Cell-Wall-Biosynthesis // Vancomycin-Resistnace	TAX-2	TAX-37734 // TAX-1351 // TAX-1353	RXN-11299 // 5.1.1.18-RXN // 3.4.13.22-RXN
PWY-7944	SECONDARY-METABOLITE-BIOSYNTHESIS	C50-Carotenoids-Biosynthesis	TAX-2157	TAX-29282 // TAX-2242 // TAX-2252 // TAX-2246	RXN-16710 // RXN-16709 // RXN-16704 // RXN-19166 // RXN-16703 // RXN-19167
P281-PWY	Super-Pathways // AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation // Super-Pathways	TAX-2157 // TAX-2	TAX-78509	RXN-2003 // RXN-2002 // RXN-2006 // PWY-6223 // R246-RXN // 1.14.13.58-RXN // R242-RXN // R241-RXN
PWY-3781	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2 // TAX-2759	TAX-9606 // TAX-160488 // TAX-4113 // ORG-5993	CYTOCHROME-C-OXIDASE-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // NADH-DEHYDROG-A-RXN // 1.10.2.2-RXN
PWY-5899	Super-Pathways // Cofactor-Biosynthesis	Menaquinone-Biosynthesis // Super-Pathways	TAX-85023 // TAX-171552	TAX-28134 // TAX-33885 // TAX-33918 // TAX-69368 // TAX-2033 // TAX-83231 // TAX-839	PWY-5893 // PWY-5895 // PWY-5837
PWY18HP-2	SECONDARY-METABOLITE-BIOSYNTHESIS	C50-Carotenoids-Biosynthesis	TAX-201174	TAX-1718 // TAX-196627	RXN-19174 // RXN18HP-8 // RXN18HP-9 // RXN18HP-7 // RXN18HP-6
PWY-6690	AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation	TAX-2	TAX-33008 // TAX-511145	RXN-10040 // RXN-12071 // RXN-12070 // RXN-12073 // RXN-12072
PWY-5839	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-2157 // TAX-2	TAX-1359 // TAX-51367 // TAX-271 // TAX-274 // TAX-33 // TAX-28132 // TAX-1423 // TAX-260554 // TAX-41170 // TAX-2045 // TAX-1292 // TAX-1286 // TAX-29385 // TAX-1290 // TAX-1283 // TAX-1282 // TAX-29382 // TAX-29388 // TAX-1280 // TAX-1641 // TAX-2756 // TAX-1422 // TAX-1428 // TAX-1571 // TAX-2078 // TAX-1565 // TAX-33022 // TAX-1408 // TAX-1407 // TAX-1404 // TAX-1402 // TAX-1461 // TAX-1399 // TAX-1398 // TAX-1397 // TAX-1396 // TAX-1455 // TAX-1390 // TAX-29332 // TAX-1445 // TAX-115852 // TAX-997 // TAX-2303	RXN-9191 // RXN-9190
PWY-7946	SECONDARY-METABOLITE-BIOSYNTHESIS	C50-Carotenoids-Biosynthesis	TAX-201174	TAX-1709 // TAX-1270	RXN-19176 // RXN-19175 // RXN-19171 // RXN18HP-8 // RXN18HP-9
HCAMHPDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation	TAX-1224	TAX-511145	HCAMULTI-RXN // PHENPRODIOLDEHYDROG-RXN // MHPHYDROXY-RXN // 1.13.11.16-RXN // MHPCHYDROL-RXN
PWY0-1353	Energy-Metabolism	AEROBIC-RESPIRATION // Electron-Transfer	TAX-2	TAX-511145	RXN0-5266 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
PWY-7996	Cofactor-Biosynthesis	Menaquinone-Biosynthesis	TAX-1117 // TAX-2836 // TAX-2763 // TAX-1639119	TAX-2836 // TAX-2771 // TAX-33072 // TAX-5833 // TAX-32049	RXN-19667
PWY-5277	Noncarbon-Nutrients // Energy-Metabolism	Energy-Metabolism // Thiosulfate-Disproportionation	TAX-4751 // TAX-1239 // TAX-1224	TAX-930 // TAX-471 // TAX-4932 // TAX-931	RXN-8202
PWY-6080	AROMATIC-COMPOUNDS-DEGRADATION	Phenolic-Compounds-Degradation	TAX-2	TAX-76114	RXN-11246 // OHBENZCOARED-RXN // RXN-9832 // RXN-9831 // RXN-9833 // RXN-9834
