Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-8063	Protein-Modification // Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Protein-Modification	TAX-2	TAX-115828	RXN-20704 // RXN-20705
PWY-7580	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-2731619 // TAX-1117	TAX-59919 // TAX-268746 // TAX-268747	RXN-17523 // RXN-9292 // RXN-15985
PWY-7921	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-4751	TAX-4932	RXN-22694 // RXN-19017 // RXN-19016 // RXN-19015 // RXN3O-9783 // RXN-16594 // 2.4.1.83-RXN // 2.4.1.109-RXN
PWY-8382	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-2	TAX-212369 // TAX-1448265 // TAX-2099583 // TAX-2099584	RXN-9028 // RXN-9030 // RXN-23299 // RXN-23294 // RXN-15400 // RXN-23295 // RXN-23296 // RXN-23297 // RXN-23298
PWY-6420	Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	TAX-2	TAX-573 // TAX-287 // TAX-339	RXN-15446 // RXN-11178 // RXN-11179 // RXN-11180 // RXN-11181 // RXN-11177 // RXN-11176
PWY-5917	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-1117	TAX-264691 // TAX-33072 // TAX-272131 // TAX-103690 // TAX-59919 // TAX-1140 // TAX-32049 // TAX-1148	RXN-17523 // RXN-15986 // 1.3.7.5-RXN
PWY-8151	Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation	TAX-2	TAX-157592	RXN-12745 // RXN-12744 // RXN-12743 // RXN-21475 // RXN-21474 // RXN-21472 // RXN-12708 // RXN-12707 // RXN-21471 // RXN-21470 // RXN-21469 // RXN-12704 // RXN-12703 // RXN-17645 // RXN-17650 // TRANS-RXN-406 // RXN-21459 // RXN-21458 // RXN-21457 // RXN-21430 // RXN-12694 // RXN-12693
PWY-6644	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-33090 // TAX-2	TAX-29303	RXN-11746 // RXN-11743 // 2.5.1.63-RXN // RXN-11745 // RXN-11744 // RXN-11747
PWY-8057	Protein-Modification // Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Protein-Modification	TAX-2759 // TAX-2		RXN-20653 // RXN-20656 // RXN-20654 // RXN-20655
PWY-7579	Tetrapyrrole-Biosynthesis	Phycobilin-Biosynthesis	TAX-1117	TAX-221359 // TAX-84588	RXN-17523 // RXN-15990 // RXN-15985 // 1.3.7.2-RXN // 1.3.7.3-RXN
PWY-7433	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-33208	TAX-9606	2.4.1.41-RXN // 2.4.1.146-RXN // 2.4.1.102-RXN // 2.4.99.4-RXN // 2.4.1.122-RXN
PWY-7959	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-1892263	TAX-230521 // TAX-1535197	RXN-19264 // RXN-19268 // RXN-19272 // RXN-19273
